scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Baroda BNP Paribas Balanced Advantage Fund-Regular Plan -Growth Option,,,,,,,,,,,,,,,,,,,,,,,0.998,0.297,0.691,-0.392,4.035,0.095,1.611,-0.558,-2.9,1.349,3.086,3.555,0.452,0.539,1.072,-1.333,-13.255,11.746,4.444,3.885,6.589,5.41,0.642,1.195,7.518,2.84,0.354,1.905,0.277,1.245,2.213,1.421,2.402,2.857,1.515,1.741,-1.222,1.733,-1.632,-2.766,3.642,-2.502,-3.097,-3.249,1.147,13.315,3.649,1.089
Baroda BNP Paribas Balanced Advantage Fund-Regular Plan-IDCW Option,,,,,,,,,,,,,,,,,,,,,,,0.898,0.198,0.395,-0.686,3.937,0.095,1.422,-0.744,-2.9,1.349,3.086,3.555,0.452,0.539,1.072,-1.333,-13.255,11.746,4.444,3.885,6.589,5.41,0.642,1.195,7.518,2.84,0.354,1.905,-7.341,-0.075,2.247,1.392,2.384,2.883,1.504,1.751,-1.191,1.741,-1.636,-2.794,-2.696,-2.502,-3.098,-3.244,0.771,15.101,3.886,0.687
Baroda BNP Paribas Overnight Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102,0.502,0.454,0.475,0.449,0.424,0.409,0.404,0.403,0.406,0.389,0.313,0.261,0.263,0.243,0.258,0.262,0.257,0.262,0.233,0.257,0.264,0.232,0.269,0.256,0.272,0.262,0.268,0.261,0.256,0.266,0.271,0.283,0.299,0.251,0.28,0.291,0.341,0.368,0.308,0.007,0.084,12.702
Baroda BNP Paribas Overnight Fund - Regular Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.101,0.498,0.45,0.471,0.445,0.42,0.405,0.4,0.399,0.401,0.385,0.309,0.257,0.258,0.238,0.253,0.255,0.251,0.255,0.227,0.253,0.26,0.228,0.265,0.252,0.268,0.258,0.264,0.256,0.251,0.261,0.266,0.277,0.294,0.246,0.274,0.286,0.336,0.363,0.303,0.007,0.084,12.496
Baroda BNP Paribas Overnight Fund - Regular Plan - Weekly IDCW,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001,0.071,0.031,-0.075,0.045,-0.064,0.024,0.032,-0.061,0.043,0.018,-0.08,0.033,0.015,-0.028,0.02,-0.032,0.015,0.021,0.016,-0.029,0.028,0.002,-0.051,0.031,-0.033,0.015,0.03,-0.034,0.019,0.022,-0.039,0.02,-0.032,-0.002,0.028,0.024,-0.04,0.027,0.001,0.001,0.037,0.094
Baroda BNP Paribas Overnight Fund - Direct Plan - Weekly IDCW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008,0.024,-0.063,0.04,-0.072,0.027,0.039,-0.055,0.042,0.013,-0.075,0.032,0.014,-0.033,0.027,-0.034,0.018,0.024,0.012,-0.03,0.029,-0.003,-0.04,0.026,-0.035,0.016,0.026,-0.036,0.018,0.026,-0.045,0.028,-0.037,-0.004,0.029,0.024,-0.041,0.027,-0.001,0.001,0.035,-0.099
Baroda BNP Paribas Money Market Fund- Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172,0.954,0.591,0.507,0.643,0.448,0.391,0.399,0.332,0.492,0.557,0.315,0.266,0.221,0.248,0.275,0.326,0.242,0.241,0.231,0.219,0.26,0.189,0.23,0.234,0.238,0.31,0.264,0.268,0.334,0.275,0.311,0.328,0.306,0.23,0.05,0.355,0.331,0.026,0.161,7.122
Baroda BNP Paribas Money Market Fund-Regular Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163,0.929,0.567,0.488,0.618,0.425,0.367,0.376,0.313,0.47,0.537,0.294,0.239,0.194,0.222,0.246,0.295,0.21,0.215,0.205,0.196,0.235,0.169,0.206,0.212,0.215,0.286,0.24,0.244,0.314,0.258,0.295,0.313,0.289,0.215,0.021,0.339,0.309,0.026,0.161,6.648
Baroda BNP Paribas Money Market Fund-Regular Plan-Weekly IDCW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105,0.242,0.04,0.042,0.087,-0.089,-0.209,-0.127,-0.19,0.026,0.308,-0.12,-0.106,-0.151,-0.161,-0.01,0.053,-0.011,-0.025,0.005,-0.023,-0.031,-0.038,-0.051,0.011,0.033,-0.06,0.006,0.063,-0.085,0.043,-0.074,0.085,0.024,-0.04,-0.045,0.024,-0.012,0.011,0.105,-0.396
Baroda BNP Paribas Equity Savings Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,0.4,2.102,1.373,0.193,0.483,0.576,-2.248,-5.072,5.645,2.235,2.376,3.25,1.538,0.446,0.976,1.932,1.378,0.085,0.509,0.422,0.336,0.838,0.582,0.992,1.717,0.723,0.718,-0.634,1.116,-0.149,-1.414,2.247,-1.494,-1.244,-1.093,0.604,3.063,1.75,1.196
