scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Franklin Asian Equity Fund - Growth Plan,6.885,0.83,1.634,1.689,3.653,2.007,4.33,-0.155,2.085,3.236,-1.24,2.064,6.625,-3.013,-2.855,0.214,1.237,-2.631,-0.185,1.552,-1.134,-9.814,-0.555,-6.008,10.882,2.175,2.179,2.064,-8.008,7.119,-2.123,-0.552,0.712,4.368,2.315,5.01,-2.563,-1.826,-14.048,10.597,4.704,6.65,8.102,3.342,-1.765,5.458,6.467,4.513,6.207,1.645,-3.824,1.077,0.496,-0.706,-6.918,0.342,-1.955,4.025,-3.895,-1.716,-1.996,-2.136,-3.539,-5.141,0.921,-1.904
Franklin Asian Equity Fund - IDCW ,6.885,0.83,1.634,1.689,3.653,2.007,4.33,-0.155,2.084,3.236,-9.146,2.063,6.626,-3.014,-2.855,0.214,1.237,-2.631,-0.185,1.552,-1.134,-9.814,-0.555,-6.008,10.882,2.176,2.178,2.065,-8.008,7.119,-2.123,-0.552,0.712,4.367,2.316,-1.85,-2.563,-1.826,-14.048,10.597,4.704,6.65,8.103,3.342,-1.765,5.458,6.467,-0.154,6.207,1.645,-3.824,1.077,0.495,-0.706,-6.918,0.343,-1.955,4.025,-3.895,-6.572,-1.996,-2.136,-3.54,-5.141,0.92,-1.904
Franklin Build India Fund - Direct - Growth,10.181,2.569,2.617,3.64,1.579,-1.03,4.421,-0.877,-2.109,12.372,-0.727,3.871,-0.029,-6.362,-3.636,1.479,0.927,-3.892,5.793,3.639,-7.002,-2.271,1.98,3.347,-3.172,0.499,10.979,-0.436,5.194,-3.036,-10.237,-1.383,5.31,5.168,2.019,-0.493,-0.255,-6.453,-27.876,14.7,5.797,8.424,-0.341,7.234,-6.511,4.234,16.589,8.245,6.807,8.707,-1.085,-1.866,11.306,2.733,3.379,2.626,4.934,3.423,-2.627,-0.149,2.069,-7.762,4.909,-0.655,-2.211,-4.654
Franklin Build India Fund - Direct - IDCW ,10.181,2.569,2.616,3.639,1.579,-1.031,4.421,-0.877,-2.11,12.371,-0.727,-4.134,-0.03,-6.362,-3.636,1.479,0.927,-3.892,5.793,3.638,-7.002,-2.271,1.98,3.347,-11.059,0.499,10.978,-0.437,5.194,-3.036,-10.237,-1.383,5.31,5.167,2.018,-7.693,-0.255,-6.454,-27.875,14.699,5.796,8.424,-0.342,7.233,-6.512,4.233,16.589,8.245,-0.919,8.707,-1.085,-1.866,11.305,2.733,3.379,2.625,4.934,3.422,-2.627,-7.208,2.069,-7.763,4.909,-0.655,-2.212,-4.655
Franklin Build India Fund - IDCW ,10.052,2.46,2.505,3.548,1.477,-1.123,4.324,-0.977,-2.194,12.27,-0.831,-4.791,-0.138,-6.453,-3.724,1.394,0.822,-3.996,5.673,3.529,-7.091,-2.377,1.871,3.232,-11.869,0.397,10.851,-0.546,5.099,-3.114,-10.324,-1.471,5.223,5.067,1.928,-8.578,-0.344,-6.519,-27.946,14.6,5.707,8.329,-0.429,7.143,-6.592,4.151,16.496,8.154,-2.033,8.622,-1.171,-1.946,11.217,2.65,3.298,2.542,4.849,3.334,-2.707,-8.382,1.986,-7.83,4.821,-0.73,-2.293,-4.732
Franklin Build India Fund Growth Plan,10.052,2.46,2.505,3.548,1.476,-1.123,4.324,-0.977,-2.194,12.27,-0.831,3.758,-0.138,-6.453,-3.724,1.393,0.822,-3.996,5.673,3.529,-7.092,-2.377,1.871,3.232,-3.282,0.397,10.851,-0.546,5.099,-3.115,-10.323,-1.471,5.223,5.067,1.928,-0.585,-0.344,-6.519,-27.943,14.6,5.707,8.328,-0.429,7.143,-6.592,4.15,16.496,8.153,6.714,8.622,-1.171,-1.946,11.217,2.65,3.298,2.542,4.849,3.334,-2.707,-0.23,1.987,-7.83,4.821,-0.73,-2.293,-4.733
Franklin India Opportunities Fund - Direct - Growth,7.277,3.24,2.104,2.342,1.44,-0.011,4.846,-1.66,-0.075,5.598,0.465,3.728,2.274,-5.333,-3.523,3.65,-0.843,-2.806,3.742,3.371,-8.618,-3.759,3.087,0.85,-0.716,0.129,8.55,-0.862,2.542,-2.538,-8.063,-2.307,5.62,4.195,0.093,0.931,0.715,-5.542,-25.324,18.901,5.37,6.301,5.946,5.862,1.728,4.809,12.995,8.662,3.323,4.728,-1.028,-0.783,5.281,3.881,2.447,3.66,3.342,3.371,-2.707,0.418,-3.274,-7.291,3.567,-3.814,-1.529,-3.65
Franklin INDIA OPPORTUNITIES FUND - Direct - IDCW ,7.276,3.239,2.103,2.341,1.439,-0.012,4.844,-1.662,-0.076,5.597,-7.023,3.727,2.273,-5.334,-3.524,3.649,-0.844,-2.807,3.741,3.369,-8.619,-3.76,-5.965,0.849,-0.718,0.128,8.549,-0.863,2.541,-2.539,-8.064,-2.309,5.618,4.194,-7.547,0.929,0.714,-5.543,-25.328,18.9,5.368,6.3,5.945,5.861,1.727,4.808,12.993,8.66,3.322,4.727,-1.03,-0.785,5.279,3.88,2.445,3.659,3.34,-4.184,-2.709,0.416,-3.275,-7.293,3.565,-3.815,-1.532,-3.653
Franklin India Opportunities Fund - Growth,7.205,3.172,2.031,2.278,1.366,-0.076,4.778,-1.728,-0.137,5.528,0.387,3.658,2.207,-5.391,-3.582,3.59,-0.906,-2.867,3.68,3.313,-8.664,-3.81,3.03,0.801,-0.762,0.087,8.49,-0.91,2.492,-2.582,-8.111,-2.354,5.571,4.126,0.024,0.859,0.641,-5.613,-25.396,18.794,5.277,6.203,5.852,5.776,1.648,4.733,12.914,8.586,3.255,4.668,-1.086,-0.833,5.227,3.826,2.391,3.602,3.283,3.306,-2.759,0.364,-3.323,-7.336,3.512,-3.861,-1.583,-3.702
Franklin INDIA OPPORTUNITIES FUND - IDCW ,7.205,3.172,2.031,2.277,1.365,-0.076,4.779,-1.728,-0.137,5.528,-7.352,3.658,2.206,-5.39,-3.582,3.591,-0.906,-2.867,3.68,3.313,-8.664,-3.81,-6.422,0.801,-0.761,0.087,8.49,-0.91,2.492,-2.582,-8.111,-2.354,5.572,4.126,-8.036,0.859,0.641,-5.613,-25.396,18.794,5.277,6.203,5.852,5.777,1.647,4.733,12.914,8.587,3.255,4.668,-1.086,-0.833,5.227,3.826,2.391,3.602,3.282,-4.868,-2.759,0.364,-3.324,-7.336,3.512,-3.861,-1.583,-3.702
